sections: {'OS': 1, '0x0a01': 43, 'REGS': 9, 'INDEXED_REGS': 4, '0x0901': 2, '0x1201': 135, 'GMU_MEM': 38, 'MEMLIST_V2': 11, 'RB_V2': 2, 'MVC_V2': 2, 'IB_V2': 2, 'SIDEBAND2': 1}
total regs: 1625
  0x00869 = 0x8cbcae50  
  0x0086a = 0x8000b604  
  0x0086b = 0x8004be02  
  0x0086c = 0xdf7cbe20  
  0x0086d = 0xaffcf000  
  0x0086e = 0x7ffcfc00  
  0x0086f = 0x80011c00  
  0x00880 = 0x00000000  
  0x00881 = 0x00000000  
  0x00882 = 0x00000000  
  0x00883 = 0x00000000  
  0x00884 = 0x00000000  
  0x00885 = 0x00000000  
  0x00886 = 0x00000000  
  0x00887 = 0x00000000  
  0x00888 = 0x00000000  
  0x00889 = 0x00000000  
  0x0088a = 0x00000008  
  0x008a0 = 0x00000000  
  0x008a1 = 0x0048d000  
  0x008a2 = 0x0001ff80  
  0x008a3 = 0x00000000  
  0x008a4 = 0x00000000  
  0x008a5 = 0x00000000  
  0x008a6 = 0x00000000  
  0x008a7 = 0x00000000  
  0x008a8 = 0x00000000  
  0x008a9 = 0x0048a000  
  0x008aa = 0x0001ff80  
  0x008ab = 0x00000000  
  0x008c0 = 0x00000000  
  0x008c1 = 0x40201b16  
  0x008c2 = 0x00800060  
  0x008c3 = 0x00000030  
  0x008c4 = 0x00000000  
  0x008d0 = 0x00000000  
  0x008d1 = 0x00000000  
  0x008d2 = 0x00000000  
  0x008d3 = 0x00000000  
  0x008d4 = 0x00000000  
  0x008d5 = 0x00000000  
  0x008d6 = 0x00000000  
  0x008d7 = 0x00000000  
  0x008d8 = 0x00000000  
  0x008d9 = 0x00000000  
  0x008da = 0x00000000  
  0x008db = 0x00000000  
  0x008dc = 0x00000000  
  0x008dd = 0x00000002  
  0x008f0 = 0x00000000  
  0x008f1 = 0x00000000  
  0x008f2 = 0x00000000  
  0x008f3 = 0x00000000  
  0x00900 = 0x00497000  
  0x00901 = 0x0001ff80  
  0x00902 = 0x00000001  
  0x00903 = 0x00000001  
  0x00908 = 0x00000000  
  0x00909 = 0x00000e12  
  0x0090a = 0x00000000  
  0x0090b = 0x00000000  
  0x0090c = 0x00000000  
  0x0090d = 0x0000000d  
  0x0090e = 0x0000002f  
  0x0090f = 0x0000020d  
  0x00910 = 0x00000000  
  0x00911 = 0x8802012b  
  0x00928 = 0x00857000  
  0x00929 = 0x00000040  
  0x0092a = 0x00000000  
  0x0092b = 0x00035a00  
  0x0092c = 0x00000040  
  0x0092d = 0x00000000  
  0x0092e = 0x00000000  
  0x0092f = 0x00000000  
  0x00930 = 0x00000000  
  0x00931 = 0x00491978  
  0x00932 = 0x0001ff80  
  0x00933 = 0x00000000  
  0x00934 = 0x00000000  
  0x00935 = 0x00000000  
  0x00936 = 0x00000000  
  0x00937 = 0x00800000  
  0x00938 = 0x00000000  
  0x00939 = 0x002c0004  
  0x0093a = 0x00b800b8  
  0x0093b = 0x01400140  
  0x0093c = 0x01800180  
  0x0093d = 0x00580058  
  0x0093e = 0x006c006c  
  0x00942 = 0x00000040  
  0x00943 = 0x000000b8  
  0x00944 = 0x00000004  
  0x00945 = 0x00000000  
  0x00946 = 0x00000001  
  0x00947 = 0x00000000  
  0x00948 = 0x0024000a  
  0x00949 = 0x00000000  
  0x0094a = 0x00000000  
  0x0094b = 0x00000000  
  0x0094c = 0x00000000  
  0x0094d = 0x00000000  
  0x00980 = 0x0265f00f  
  0x00981 = 0x00000000  
  0x00982 = 0x026184c9  
  0x00983 = 0x00000000  
  0x00984 = 0x00000000  
  0x0098d = 0x00000001  
  0x0098e = 0x00000000  
  0x0098f = 0x00000000  
  0x00990 = 0x00000000  
  0x00991 = 0x00000000  
  0x00992 = 0x00000000  
  0x00993 = 0x00000000  
  0x00994 = 0x00000000  
  0x00995 = 0x00000000  
  0x00996 = 0x00000000  
  0x00998 = 0x00000000  
  0x00999 = 0x00000000  
  0x0099a = 0x00000000  
  0x0099b = 0x00000000  
  0x0099c = 0x00000000  
  0x0099d = 0x00000000  
  0x0099e = 0x00000000  
  0x009a0 = 0x00000000  
  0x009a1 = 0x00000000  
  0x009a2 = 0x00000000  
  0x009a3 = 0x00000000  
  0x009a4 = 0x00000000  
  0x009a5 = 0x00000000  
  0x009a6 = 0x00000000  
  0x009a8 = 0x300026a0  
  0x009a9 = 0x0202985c  
  0x009aa = 0x020278ec  
  0x009ab = 0x0202b89c  
  0x009ac = 0x02025804  
  0x009ad = 0x0202186c  
  0x009ae = 0x02023870  
  0x009b0 = 0x00000000  
  0x009b1 = 0x00000000  
  0x009c2 = 0x1817203f  
  0x009c3 = 0x030830a1  
  0x009c4 = 0x020450e0  
  0x009c5 = 0x02021023  
  0x009c6 = 0x02092094  
  0x009c7 = 0x02032035  
  0x009c8 = 0x020b00b6  
  0x00a00 = 0x00000000  
  0x00a01 = 0x00000000  
  0x00a02 = 0x00000000  
  0x00a03 = 0x00000000  
  0x00c00 = 0x00000000  
  0x00c01 = 0x00000001  
  0x00c02 = 0x00000101  
  0x00c03 = 0x00000000  
  0x00c04 = 0x00000000  
  0x00c06 = 0x00000000  
  0x00c10 = 0x00000000  
  0x00c11 = 0x00000000  
  0x00c12 = 0x00000000  
  0x00c13 = 0x00000000  
  0x00c14 = 0x00000000  
  0x00c15 = 0x00000000  
  0x00c16 = 0x00000000  
  0x00c17 = 0x00000000  
  0x00c18 = 0x00000000  
  0x00c19 = 0x00000000  
  0x00c1a = 0x00000000  
  0x00c1b = 0x00000000  
  0x00c1c = 0x00000000  
  0x00c1d = 0x00000000  
  0x00c1e = 0x00000000  
  0x00c1f = 0x00000000  
  0x00c20 = 0x00000000  
  0x00c21 = 0x00000000  
  0x00c22 = 0x00000000  
  0x00c23 = 0x00000000  
  0x00c24 = 0x00000000  
  0x00c25 = 0x00000000  
  0x00c26 = 0x00000000  
  0x00c27 = 0x00000000  
  0x00c28 = 0x00000000  
  0x00c29 = 0x00000000  
  0x00c2a = 0x00000000  
  0x00c2b = 0x00000000  
  0x00c2c = 0x00000000  
  0x00c2d = 0x00000000  
  0x00c2e = 0x00000000  
  0x00c2f = 0x00000000  
  0x00c30 = 0x00000000  
  0x00c31 = 0x00000000  
  0x00c32 = 0x00000000  
  0x00c33 = 0x00000000  
  0x00c34 = 0x00000000  
  0x00c35 = 0x00000000  
  0x00c36 = 0x00000000  
  0x00c37 = 0x00000000  
  0x00c38 = 0x00000000  
  0x00c39 = 0x00000000  
  0x00c3a = 0x00000000  
  0x00c3b = 0x00000000  
  0x00c3c = 0x00000000  
  0x00c3d = 0x00000000  
  0x00c3e = 0x00000000  
  0x00c3f = 0x00000000  
  0x00c40 = 0x00000000  
  0x00c41 = 0x00000000  
  0x00c42 = 0x00000000  
  0x00c43 = 0x00000000  
  0x00c44 = 0x00000000  
  0x00c45 = 0x00000000  
  0x00c46 = 0x00000000  
  0x00c47 = 0x00000000  
  0x00c48 = 0x00000000  
  0x00c49 = 0x00000000  
  0x00c4a = 0x00000000  
  0x00c4b = 0x00000000  
  0x00c4c = 0x00000000  
  0x00c4d = 0x00000000  
  0x00c4e = 0x00000000  
  0x00c4f = 0x00000000  
  0x00c50 = 0x00000000  
  0x00c51 = 0x00000000  
  0x00c52 = 0x00000000  
  0x00c53 = 0x00000000  
  0x00c54 = 0x00000000  
  0x00c55 = 0x00000000  
  0x00c56 = 0x00000000  
  0x00c57 = 0x00000000  
  0x00c58 = 0x00000000  
  0x00c59 = 0x00000000  
